Date,Value,Anomaly
189503,33.28,-4.38
189603,36.54,-1.12
189703,36.09,-1.57
189803,38.21,0.55
189903,31.57,-6.09
190003,36.02,-1.64
190103,35.28,-2.38
190203,36.52,-1.14
190303,35.32,-2.34
190403,36.68,-0.98
190503,36.03,-1.63
190603,34.89,-2.77
190703,40.58,2.92
190803,38.46,0.8
190903,37.68,0.02
191003,39.37,1.71
191103,38.84,1.18
191203,33.42,-4.24
191303,34.1,-3.56
191403,35.14,-2.52
191503,36.44,-1.22
191603,37.59,-0.07
191703,34.22,-3.44
191803,39.78,2.12
191903,36.57,-1.09
192003,36.99,-0.67
192103,41.76,4.1
192203,36.18,-1.48
192303,33.93,-3.73
192403,36.18,-1.48
192503,41.27,3.61
192603,38.66,1
192703,40.08,2.42
192803,38.73,1.07
192903,35.24,-2.42
193003,40.25,2.59
193103,38.68,1.02
193203,37.03,-0.63
193303,35.71,-1.95
193403,38.55,0.89
193503,39.81,2.15
193603,34.33,-3.33
193703,35.28,-2.38
193803,40.5,2.84
193903,36.24,-1.42
194003,37.68,0.02
194103,36.36,-1.3
194203,36.03,-1.63
194303,37.39,-0.27
194403,36.5,-1.16
194503,40.41,2.75
194603,40.83,3.17
194703,35.08,-2.58
194803,35.17,-2.49
194903,36.34,-1.32
195003,37.2,-0.46
195103,36.54,-1.12
195203,36.57,-1.09
195303,39.81,2.15
195403,40.33,2.67
195503,35.56,-2.1
195603,36.51,-1.15
195703,39.67,2.01
195803,34.82,-2.84
195903,36.97,-0.69
196003,33.22,-4.44
196103,40.44,2.78
196203,36.41,-1.25
196303,38.92,1.26
196403,35.3,-2.36
196503,33.98,-3.68
196603,37.12,-0.54
196703,38.26,0.6
196803,38.24,0.58
196903,34.42,-3.24
197003,36.92,-0.74
197103,36.57,-1.09
197203,38.8,1.14
197303,38.94,1.28
197403,39.56,1.9
197503,35.73,-1.93
197603,40.94,3.28
197703,39.6,1.94
197803,34.65,-3.01
197903,35.1,-2.56
198003,36.1,-1.56
198103,39.72,2.06
198203,37.31,-0.35
198303,39.63,1.97
198403,38.73,1.07
198503,37.18,-0.48
198603,41.02,3.36
198703,39.98,2.32
198803,38.04,0.38
198903,35.92,-1.74
199003,40.72,3.06
199103,41.57,3.91
199203,42.21,4.55
199303,36.46,-1.2
199403,38.19,0.53
199503,40.35,2.69
199603,37.36,-0.3
199703,40.36,2.7
199803,40.03,2.37
199903,41.14,3.48
200003,42.91,5.25
200103,37.74,0.08
200203,37.96,0.3
200303,38.04,0.38
200403,40.49,2.83
200503,40.12,2.46
200603,38.72,1.06
200703,40.04,2.38
200803,38.28,0.62
200903,39.82,2.16
201003,37.68,0.02
201103,38.06,0.4
201203,43.96,6.3
201303,37.84,0.18
201403,36.32,-1.34
201503,39.19,1.53
201603,43.48,5.82
201703,43.66,6
